username,published_at,comment
@loeyizt,2025-03-18T12:56:12Z,yang masih ngebela fix sakit. miris banget ngebelain aktor korea sampe segitunya. udah jelas-jelas se red flag itu tapi masih pada tutup mata. gws deh
@monicaprobolinggo4469,2025-03-18T12:18:19Z,Oh gitu
@monicaprobolinggo4469,2025-03-18T12:16:31Z,Kurang jelas kayak bahasa jawa
@erianoviyadi,2025-03-18T11:41:41Z,Kalo orang korea asli yang bahas kok vibes nya beda ya. Lebih puas gitu
@nisadiandra33,2025-03-18T11:24:15Z,"Mau nanya serius , emg se DARK itu ya dunia entertainment di korea 😢😢😢😢"
@nisadiandra33,2025-03-18T11:20:52Z,"Klo bener ngeri sih KSH ,, laki harusnya memulyakan wanitanya  , ini malqh suruh kerja bakti buat menguntungkan dia ...😢"
@DevinovitaSaris-ik3re,2025-03-18T09:53:33Z,Makanya pada nikah atuh ya artis korea ya teh daripada begini😢
@sanjaniadam9852,2025-03-18T09:26:31Z,Kuatnya seorang lee seunggi yang mampu bertahan dari semua itu... Gak memilih jalan seperti artis lain
@AliSidik-o9t,2025-03-18T06:56:24Z,Berarti yutub lee jin ho harus di boikot karena dia bisa bikin hancur idol lain klo sedang ada masalah .
@desiana850,2025-03-18T04:53:11Z,Oh ternyata KIMSUYON spell nya
@rahmawatisyam7821,2025-03-18T04:49:51Z,"saeron cantik bangetttt kasihan saeron menghabiskan masa belianya dgn laki2 bangsat, saeron aja yg bucin kalau si somen untuk nafsu aja, dimanfaatkan aja pacaran sembunyi2 gaya pacaran artis korea..umur 15 tahun belia amat"
@nuraenyahmad3544,2025-03-18T03:37:54Z,Medok medoknya kyknya jawa timur ya ini ahjussi
@WindiFebriantika,2025-03-18T03:36:27Z,Yg parah cewek2 yg buta matahati masih support ksh pdhl umuran nya sama kyk almarhum...udh parah sih itu.
@faizalfebriyanto7392,2025-03-18T01:20:45Z,"Kenapaaa masss dari kemarin tiap mau nonton sampe ""aku pun"" menit awal selalu nguwweerrrr mandek mendadak 🥱"
@paleblueyes,2025-03-18T01:18:31Z,KIM CANGCUT
@quesera99,2025-03-17T22:38:36Z,"Perbezaan umur mereka 13 thun mas, bkan 12 waduhhh "
@isseievendi9391,2025-03-17T17:18:12Z,"Jgn boikot kim so hyun lah , dia actor paling best, sayang kalau di boikot . Pdahal baru lihat drama dia queen of tears"
@YaniSakira-g3w,2025-03-17T16:47:51Z,Ksh gk punya hati berarti ya toxic
@Babybelanja,2025-03-17T16:27:23Z,Industri korea butuh Nikmir inimah 😂
@nesyanafisa806,2025-03-17T16:03:52Z,"Daridulu emang biasa aja sama KSH ga pernah ngefans bgt kek orang"", liatnya juga biasa aja dan ga pernah nontonin dramanyaa walaupun pada saat itu KSH karirnya lagi naik""nya dan masuk aktor paling mahal dikorsel, ternyata macarin anak dibawah diumur itu udh redflag bangett sih, kasian banget saeron disaat"" dia lagi depresi mereka gaada yg peduli, rest in peace cantikk🥺🥀💗"
@andreystark7548,2025-03-17T15:54:17Z,"semoga Kim Sae Ron mendapatkan keadilan
&
Kim Soo Hyun 
menerima hukuman atas perbuatannya

teman teman aku mau share
Tahun 2015
aku beli barang nilai jutaan
dari Orang Bogor
Ibu Sherlyna Senduk
&
Transfer ke Rekening Anaknya
Pegawai Bank BTN
Valenadya Tamara
singkat cerita
Barang tidak dikirim
Uang tidak dikembalikan

harap berhati-hati 🙏
kalau bertransaksi sama orang
terima kasi perhatiannya
semoga teman teman sehat selalu 🙏"
@ik_cintacantika5027,2025-03-17T15:52:05Z,"rest in peace kim saeron😢 jenazah gabisa bicara tp kebeneran pasti terungkap, may your soul rest in peace🤍"
@angleshop199,2025-03-17T15:28:27Z,"Udah pacarnya bertahun2, gitu kesusahan ga mau bantu, mau enak2nya aja si KSH, Red flag ini BOCAH!  Harusnya KSR putuskan laki2 gila gitu, ganteng aja ATTITUDE ZERO! KSH itu bukannya ga punya uang. Kasihan KSR udah tulang punggung keluarga dari kecil. Kenapa artis korea banyak Bundir padahal lebih miskin dr mereka banyak ga bisa makan lagi.?! Segala sesuatunya kalau tidak ada sandaran dalam Tuhan hanya mengandalkan manusia, habislah hidupmu. Karena manusia bisa berubah dan pembohong."
@LailaSaaa,2025-03-17T15:14:02Z,#JusticeforkimSaeron
@starlightyappi,2025-03-17T14:45:14Z,KASIHAN BANGET YAAMPUN KIM SAERON 🤧
@perfecttaleysiaabeby,2025-03-17T14:40:24Z,"pantesan yaa dia KSH gapernah dapet masalah dari lawan bermain alias dating, eh ternyata masalahnya lebih gong dari sekedar dating hancur bgt abis ini pasti KSH walaupun nantinya dia dinyatakan ga bersalah tp bukti udh sebanyak itu ttp ga mempan berarti duit yang berbicara"
@pasificdom7383,2025-03-17T14:31:37Z,Intinya konflik of interest ( hutang piutang di bank saja ada banyak solusinya...salah satunnya bisa di restrukturisasi kredit lebih dari 1X...)
@TisnaWerdaya,2025-03-17T12:43:28Z,"Dari kejadian Kim Saeron ini, mungkin kita mesti mampu memahami dan mengendalikan perasaan. Untuk Kim Saeron mesti menghargai kehidupan termasuk hidup diri sendiri. Untuk Sepupu Kim jangan kaku dan dendaman. Untuk Kim Hyu Soon mesti fleksibel tidak boleh jadi raja tega mencuekin mantan, apalagi Kim Saeron benar-benar dalam tekanan dan kesulitan berat yg perlu jalan keluar. Untuk Publik Korea jg sampai terpancing opini media hingga membuli publik figur yg dilanda masalah. Hingga dia merasa terpojok dan tak ada jalan keluar...
Ini bukan masalah siapa yg salah atau siapa yg jahat, tapi sangat penting dalam menjalin hubungan itu mesti dilandasi oleh rasa kasih sayang, bukan sekedar ego afiliasi... intinya kita harus mengerti dan menjalankan makna Silaturahmi... 
jadi mari kita tebarkan kasih sayang dan buka pintu ma'af selebar-lebarnya agar hati sanubari kita tidak dikuasai dendam serta iri dengki🙏"
@putraplay2341,2025-03-17T12:34:40Z,Undang aja kesini di indo biar ku kasih supris biar paham
@seikagi,2025-03-17T11:53:15Z,Mana fansnya pada denial...
